"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"pavlovia_init","pavlovia","0","923","0.0-0.0","60588","DH-016","18:20:48","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1924","0.0-1.0","60588","DH-016","18:20:49","1440","778","true","chrome","130.0.0","false","Mac OS","true","60.37","true","true","Browser_Check","","","","","","","","","","","",""
"","fullscreen","2","7811","0.0-2.0","60588","DH-016","18:20:55","","","","","","","","","","","","Fullscreen","true","4884","","","","","","","","","",""
"","html-keyboard-response","3","22919","0.0-3.0","60588","DH-016","18:21:10","","","","","","","","","","","","Instruction","","15105","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch an episode of a publicly broadcasted murder mystery television show.<br><br>It contains adult themes and graphic language. While the video will portray a character accused of a violent crime, as well as verbal descriptions of the crime, <strong>violence will not be shown</strong>, nor will any other graphic visual content.<br><br><br>If you are not comfortable with continuing, please exit this experiment now.<br><br><br><br>Otherwise, please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","","","","",""
"","preload","4","23757","0.0-4.0","60588","DH-016","18:21:11","","","","","","","","","","","","Preload","true","","","","false","[]","[]","[]","","","",""
"","image-button-response-modified","5","40966","0.0-5.0","60588","DH-016","18:21:28","","","","","","","","","","","","Consent","","17207","components/consent/SONA.png","0","","","","","","","",""
"","html-keyboard-response","6","42067","0.0-6.0","60588","DH-016","18:21:30","","","","","","","","","","","","Instr_Task","","1099","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","7","48468","0.0-7.0","60588","DH-016","18:21:36","","","","","","","","","","","","Instr_Task","","6400","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 60 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","8","345369","0.0-8.0","60588","DH-016","18:26:33","","","","","","","","","","","","Instr_Task","","296900","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","9","363491","0.0-9.0","60588","DH-016","18:26:51","","","","","","","","","","","","Instr_Task","","18121","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">You will watch 45 minutes of a crime mystery drama in which one character is suspected of having murdered another.<br><br><br>We will present background information about the characters of the show and the surrounding context before the episode begins.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
